id,cn,l,l160,l320,prov,can,organic,grass,btest,bfree,rp
130,-17.98095756952731,4.500455702695044,3.924124168081113,3.485944984736608,5.262755908677588,4.462846500431243,3.937019650311706,.0872661956448421,1.386510373252851,1.399236583236814,1
131,-6.953878423506461,3.942674068817684,4.332046213684753,3.428927376772267,5.264734288439943,4.48309502337109,4.419089636526054,.6452162389412381,1.667026805524868,2.014018886591115,1
135,-18.91675251929457,4.904666742544022,3.856230974229879,3.55196735352333,5.438789535288936,4.391345639712752,-.6456389496636884,.5464122412291404,.9854916887542325,.4432381857344035,1
138,-.6090554711509991,4.072842748372638,3.818181117748522,3.356386992266879,5.213148512427858,4.490005314484248,-.5886141499507405,-.2729350924572865,1.316008684850049,3.692444945229533,1
139,-8.308978639293146,5.425437623473141,3.485495729171914,3.282822607040444,5.32451087176498,4.512311311133841,3.48261711946176,1.03093992092915,.9328486992686073,3.154295120769808,1
140,-18.52765984057763,3.972263899229784,4.269428337662402,3.820298246576788,5.272756558831928,4.463840644331943,6.55576693271369,.9739212743490859,.9527988839605912,2.366851236953013,1
141,4.585147830206882,4.266056590261613,3.99906568725123,3.389069110647389,5.211633983314802,4.453267873802939,-.56599755403316,.3923061629915506,1.326888362201118,2.440183421633971,1
143,-.2935098327899066,4.00293419401375,3.943411448581184,3.129269684917266,5.190088117255628,4.468269567123187,-1.293373584230849,1.469405696979554,1.133450322472918,1.672193822693981,1
147,-12.09749980429369,4.347135971451957,4.038517551579755,2.89063088346646,5.28857893942599,4.492864413745093,.447854328482954,.8804800554135811,1.236084378542274,4.358100023653502,1
148,-18.82647772849155,3.450119066693975,3.772435122718105,3.584096021251939,5.24479249303331,4.503476083278611,3.634165475972254,1.808980596566071,1.30207808579136,2.855925173221912,1
149,-17.60058037024806,4.569519124720063,3.917650949527033,3.403321013957198,5.272717004531855,4.475237159176863,3.697647777288937,-.0900118025278903,1.439871469576979,1.419512159659536,1
154,-11.37518179541059,4.630294215659712,4.221442282644156,2.474677857828932,5.284249377980513,4.519207800878409,-2.017898077917656,1.238215402667312,1.845950252598175,1.853337160773105,1
157,4.642771565126271,4.243986162197587,3.940463351669225,3.46556278556432,5.232316293553548,4.44035419893077,.1434871343309485,.3879491431866134,1.480907070889658,2.243641158851347,1
160,-4.218428346489609,4.034652390670463,3.746016495075488,3.197085422276652,5.177701229689561,4.474304139012933,-1.249398203699984,-1.158413037364579,1.042681125384314,1.927719228254427,1
162,.3797284478297289,5.183558729955988,3.785196675694528,3.478410043323799,5.219807437714654,4.459611861805902,-1.429063788182698,-.1370932785916365,1.128940991488327,3.686971943370825,1
